gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,opp,wl,gametype,box
PHG190309120,granc101,CUX,1,4,value,27,1,5,0,1,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,jordb102,CUX,1,3,value,27,14,1,0,1,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,johng103,CUX,1,6,value,27,2,2,0,0,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,willc112,CUX,1,2,value,27,4,4,2,0,0,0,0,1,2,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,jackw103,CUX,1,7,value,27,0,0,0,0,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,payna101,CUX,1,8,value,27,4,1,0,1,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,hillj106,CUX,1,5,value,27,1,2,1,0,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,fostr105,CUX,1,1,value,27,0,5,0,0,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,smitb115,CUX,1,9,value,27,1,0,0,0,0,,,,,1,19030912,0,PHI10,PHG,w,championship,y
PHG190309120,pattj102,PHG,1,7,value,27,5,0,0,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,bingw102,PHG,1,5,value,27,2,2,1,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,granf101,PHG,1,4,value,27,2,1,1,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,monrb102,PHG,1,6,value,9,0,0,0,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,monrb102,PHG,2,3,value,18,2,2,1,0,0,,,,,0,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,whits105,PHG,1,3,value,9,0,0,0,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,whits105,PHG,2,6,value,18,6,1,0,0,0,,,,,0,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,buckh101,PHG,1,9,value,27,5,0,0,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,footr101,PHG,1,2,value,27,1,0,0,0,0,0,0,0,0,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,nelsj103,PHG,1,8,value,27,4,0,0,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
PHG190309120,bellw103,PHG,1,1,value,27,0,0,1,0,0,,,,,1,19030912,0,PHI10,CUX,l,championship,y
CUX190309131,pattj102,PHG,1,7,value,24,0,1,0,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,bingw102,PHG,1,5,value,24,2,4,1,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,granf101,PHG,1,4,value,24,5,3,1,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,warrw101,PHG,1,9,value,24,0,1,1,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,whits105,PHG,1,6,value,24,2,6,1,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,buckh101,PHG,1,1,value,24,1,2,1,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,footr101,PHG,1,2,value,24,2,0,2,0,0,0,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,nelsj103,PHG,1,8,value,24,1,0,0,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,evanh101,PHG,1,3,value,24,11,0,0,0,0,,,,,1,19030913,1,NYC18,CUX,l,championship,y
CUX190309131,granc101,CUX,1,4,value,27,2,1,0,1,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,jordb102,CUX,1,3,value,27,12,0,0,1,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,johng103,CUX,1,6,value,27,0,5,0,0,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,mccld101,CUX,1,1,value,27,1,1,0,0,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,willc112,CUX,1,2,value,27,8,0,0,0,0,0,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,jackw103,CUX,1,7,value,27,0,0,0,0,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,payna101,CUX,1,8,value,27,2,0,0,0,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,hillj106,CUX,1,5,value,27,2,2,0,0,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
CUX190309131,smitb115,CUX,1,9,value,27,0,0,0,0,0,,,,,1,19030913,1,NYC18,PHG,w,championship,y
PHG190309132,granc101,CUX,1,4,value,24,2,0,1,1,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,jordb102,CUX,1,3,value,24,7,0,0,0,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,johng103,CUX,1,6,value,24,1,0,1,0,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,mccld101,CUX,1,1,value,24,2,3,0,0,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,willc112,CUX,1,2,value,24,5,0,0,0,0,0,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,jackw103,CUX,1,7,value,24,2,1,0,1,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,payna101,CUX,1,8,value,24,3,0,0,0,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,hillj106,CUX,1,5,value,24,1,4,0,0,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,smitb115,CUX,1,9,value,24,1,0,0,0,0,,,,,1,19030913,2,NYC18,PHG,l,championship,y
PHG190309132,pattj102,PHG,1,7,value,27,3,0,0,0,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,bingw102,PHG,1,5,value,27,2,1,0,1,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,granf101,PHG,1,4,value,27,2,4,3,0,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,monrb102,PHG,1,3,value,27,11,1,0,2,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,whits105,PHG,1,6,value,27,2,2,1,1,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,buckh101,PHG,1,9,value,27,1,1,0,0,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,footr101,PHG,1,2,value,27,3,0,0,0,0,0,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,nelsj103,PHG,1,8,value,27,3,1,0,0,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
PHG190309132,bellw103,PHG,1,1,value,27,0,2,0,0,0,,,,,1,19030913,2,NYC18,CUX,w,championship,y
CUX190309140,pattj102,PHG,1,7,value,24,1,0,0,0,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,bingw102,PHG,1,5,value,24,1,3,2,1,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,granf101,PHG,1,4,value,24,3,6,1,0,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,monrb102,PHG,1,3,value,24,12,0,1,1,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,whits105,PHG,1,6,value,24,1,2,2,0,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,buckh101,PHG,1,9,value,24,1,0,0,0,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,footr101,PHG,1,2,value,24,2,0,1,0,0,0,1,0,0,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,nelsj103,PHG,1,8,value,24,3,0,0,0,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,cartk101,PHG,1,1,value,24,0,1,1,0,0,,,,,1,19030914,0,TRE02,CUX,l,championship,y
CUX190309140,granc101,CUX,1,4,value,27,3,8,0,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,jordb102,CUX,1,3,value,27,17,1,0,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,johng103,CUX,1,6,value,27,0,1,0,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,fostr105,CUX,1,1,value,27,1,3,1,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,willc112,CUX,1,2,value,27,3,2,0,0,0,0,0,1,0,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,jackw103,CUX,1,7,value,27,1,0,0,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,payna101,CUX,1,8,value,27,0,0,0,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,hillj106,CUX,1,5,value,27,2,2,1,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
CUX190309140,smitb115,CUX,1,9,value,27,0,0,0,0,0,,,,,1,19030914,0,TRE02,PHG,w,championship,y
PHG190309150,granc101,CUX,1,4,value,24,1,1,0,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,jordb102,CUX,1,3,value,24,9,0,0,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,johng103,CUX,1,6,value,24,1,3,0,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,mccld101,CUX,1,1,value,24,1,2,0,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,willc112,CUX,1,2,value,24,7,1,2,0,0,0,0,0,0,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,jackw103,CUX,1,7,value,24,2,0,0,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,payna101,CUX,1,8,value,24,1,0,0,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,hillj106,CUX,1,5,value,24,2,2,1,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,smitb115,CUX,1,9,value,24,0,0,0,0,0,,,,,1,19030915,0,CAM02,PHG,l,championship,y
PHG190309150,whits105,PHG,1,6,value,27,1,4,0,1,0,,,,,1,19030915,0,CAM02,CUX,w,championship,y
