site,name,city,state,first_g,last_g
ACY01,Inlet Park,Atlantic City,NJ,19040901,19271021
ACY02,New York Avenue Field,Atlantic City,NJ,19400823,19480521
AKR01,League Park,Akron,OH,19300821,19450705
ALB02,Hawkins Stadium,Albany,NY,19400602,19480814
ALB03,,Albany,GA,19370512,19370512
ALE01,,Alexandria,LA,19370427,19370427
ALT01,Columbia Park,Altoona,PA,19370601,19450813
ALT02,Cricket Field,Altoona,PA,19320930,19480512
ANA01,Angel Stadium of Anaheim,Anaheim,CA,19660419,20240929
ANN01,,Anniston,AL,19400517,19410729
APP01,Spencer Park,Appleton,WI,19430807,19430807
ARL01,Arlington Stadium,Arlington,TX,19720421,19931003
ARL02,Rangers Ballpark in Arlington,Arlington,TX,19940411,20190929
ARL03,Globe Life Field in Arlington,Arlington,TX,20200724,20240922
ARN01,Fairgrounds Park,Arlington,NE,19470921,19490605
ATC01,,Atchison,KS,19490920,19490920
ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,19660412,19961024
ATL02,Turner Field,Atlanta,GA,19970404,20161002
ATL03,Truist Park,Atlanta,GA,20170414,20240930
ATL04,Ponce de Leon Park,Atlanta,GA,19370529,19490509
ATL05,Harper Field,Atlanta,GA,19400331,19460421
ATL06,Booker T. Washington High School Field,Atlanta,GA,19380528,19380528
AUS01,Disch Field,Austin,TX,19470929,19490712
AXC01,,Alexander City,AL,19480505,19490330
BAK01,Sam Lynn Park,Bakersfield,CA,19461023,19461023
BAL09,Oriole Park IV,Baltimore,MD,19010426,19400825
BAL10,Terrapin Park,Baltimore,MD,19140413,19420510
BAL11,Memorial Stadium,Baltimore,MD,19540415,19911006
BAL12,Oriole Park at Camden Yards,Baltimore,MD,19920406,20241002
BAL13,Maryland Park,Baltimore,MD,19240803,19311025
BAL14,Bugle Field,Baltimore,MD,19321009,19490918
BAN01,,Bangor,PA,19480825,19480825
BAT01,,Baton Rouge,LA,19370412,19490419
BCK01,Bailey Park,Battle Creek,MI,19490710,19490710
BEA01,Stuart Stadium,Beaumont,TX,19440430,19490520
BEA02,,Beaver Falls,PA,19410519,19410519
BEA03,Athletic Park,Beatrice,NE,19490630,19490630
BEC01,RMI Park,Beckley,WV,19370722,19380727
BEL01,Belleville Athletic Field,Belleville,IL,19370720,19490617
BEL02,Belmar Memorial Field,Belmar,NJ,19370914,19420630
BEL03,,Belmont,NY,19410716,19410716
BHM01,Colony Park,Benton Harbor,MI,19470702,19470702
BIR01,Rickwood Field ,Birmingham,AL,19270919,20240620
BIS01,Bismarck Municipal Ballpark,Bismarck,ND,19380724,19390723
BLO01,Bloomsburg Fair Grounds,Bloomsburg,PA,19261006,19261008
BLU01,Blakely Field,Bluefield,WV,19380907,19380907
BOG01,,Bogalusa,LA,19420408,19420408
BOS05,South End Grounds III,Boston,MA,19010419,19140811
BOS06,Huntington Avenue Baseball Grounds,Boston,MA,19010508,19111007
BOS07,Fenway Park,Boston,MA,19120420,20240929
BOS08,Braves Field,Boston,MA,19150818,19520921
BRA01,Bradley Beach Field,Bradley Beach,NJ,19261011,19261011
BRA02,,Brandon,MAN,19380720,19380720
BRI01,Candlelite Stadium,Bridgeport,CT,19400723,19490602
BUF04,International Fair Association Grounds,Buffalo,NY,19140511,19150908
BUF05,Sahlen Field,Buffalo,NY,20200811,20210721
BUF06,Offermann Stadium,Buffalo,NY,19370804,19490802
BUT01,,Butler,PA,19281011,19420817
CAI01,,Cairo,IL,19390728,19490526
CAM01,Third Street and Erie Avenue Grounds,Camden,NJ,19211012,19211012
CAM02,Twelfth and Federal St.,Camden,NJ,19030915,19420526
CAM03,,Cambridge,MD,19400822,19400822
CAN01,Mahaffey Park,Canton,OH,19020615,19030621
CAN03,Lakeside Park,Canton,OH,19380531,19430529
CAN04,,Canton,IL,19430721,19430721
CBI01,American Legion Park,Council Bluffs,IA,19460723,19480707
CED01,Hill Park,Cedar Rapid,IA,19371007,19490607
CEN01,Fans Field,Centralia,IL,19480521,19490621
CHA01,Kanawha Park,Charleston,WV,19370729,19490717
CHA02,Henninger Field,Chambersburg,PA,19370622,19420525
CHA03,Griffith Park,Charlotte,NC,19390622,19490428
CHE01,Lloyd Field,Chester,PA,19380601,19490607
CHE02,Elks Park,Chester,PA,19370602,19380606
CHI08,West Side Grounds,Chicago,IL,19010426,19151003
CHI09,South Side Park III,Chicago,IL,19010424,19400908
CHI10,Comiskey Park I,Chicago,IL,19100701,19900930
CHI11,Wrigley Field,Chicago,IL,19140423,20240929
CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,19910418,20240926
CHI15,Mills Stadium,Chicago,IL,19341014,19341014
CHI16,Shrewbridge Field,Chicago,IL,19380620,19380711
CHN01,,Chanute,KS,19370830,19380816
CHT01,Engel Stadium,Chattanooga,TN,19370809,19490618
CIN02,Avenue Grounds,Cincinnati,OH,19490718,19490718
CIN05,League Park II,Cincinnati,OH,19010420,19011006
CIN06,Palace of the Fans,Cincinnati,OH,19020417,19111012
CIN07,Crosley Field,Cincinnati,OH,19120411,19700624
CIN08,Cinergy Field,Cincinnati,OH,19700630,20020922
CIN09,Great American Ballpark,Cincinnati,OH,20030331,20240922
CLA01,,Clarksdale,MS,19380608,19480520
CLC01,Simpson Park,Chillicothe,MO,19490908,19490908
CLE05,League Park III,Cleveland,OH,19010429,19090906
CLE06,League Park IV,Cleveland,OH,19100421,19490731
CLE07,Cleveland Stadium,Cleveland,OH,19311004,19931003
CLE08,Progressive Field,Cleveland,OH,19940404,20241019
CLE11,Kinsman Hardware Field,Cleveland,OH,19310617,19310617
CMB01,,Columbia,MO,19370514,19370825
COL03,Neil Park I,Columbus,OH,19020803,19030517
COL04,Neil Park II,Columbus,OH,19050723,19281014
COL05,Red Bird Stadium,Columbus,OH,19370613,19490821
COL06,Golden Park,Columbus,GA,19490622,19490816
COL07,,Columbus,MS,19490725,19490803
COR01,Firemens Ball Park,Corpus Christi,TX,19460407,19460414
COV02,Covington Park,Covington,KY,19400810,19400810
