id,year,team,role,first_g,last_g
aarot101,1979,ATL,,19790406,19790930
aarot101,1980,ATL,,19800409,19801005
aarot101,1981,ATL,,19810410,19811004
aarot101,1982,ATL,,19820406,19821010
aarot101,1983,ATL,,19830404,19831002
aarot101,1984,ATL,,19840403,19840813
abbos801,1935,WS1,,19350417,19350929
abree801,2024,ATL,Bullpen,20240329,20241002
accaj001,2020,NYN,Pitching,20200723,20200927
accaj001,2021,NYN,Pitching,20210405,20211003
acoso801,2000,CHN,Pitching,20000329,20001001
acoso801,2001,CHN,Pitching,20010402,20011007
acoso801,2002,TEX,Pitching,20020401,20020620
actam801,2002,MON,3B,20020402,20020929
actam801,2003,MON,3B,20030331,20030928
actam801,2004,MON,3B,20040406,20041003
actam801,2005,NYN,3B,20050404,20051002
actam801,2006,NYN,3B,20060403,20061001
actam801,2016,SEA,3B,20160404,20161002
actam801,2017,SEA,3B,20170402,20171001
actam801,2018,SEA,Bench,20180329,20181001
actam801,2019,SEA,Bench,20190329,20190929
actam801,2020,SEA,3B,20200723,20200927
actam801,2021,SEA,3B,20210401,20211003
actam801,2022,SEA,3B,20220408,20221015
actam801,2023,SEA,3B,20230330,20231001
actam801,2024,SEA,3B,20240328,20240929
adaib801,1962,MLN,,19620410,19620930
adaib801,1967,ATL,,19670411,19671001
adaib801,1970,CHA,,19700407,19700901
adaib801,1970,CHA,,19700914,19701001
adaib801,1976,MON,,19760409,19761003
adaij101,1972,OAK,1B,19720415,19721022
adaij101,1973,OAK,1B,19730406,19730930
adaij101,1974,OAK,1B,19740404,19741017
adaij101,1975,CAL,,19750407,19750928
adaij102,1951,CHA,,19510417,19510930
adaij102,1952,CHA,,19520415,19520928
adaij102,1957,BAL,,19570415,19570929
adaij102,1958,BAL,,19580415,19580928
adaij102,1959,BAL,,19590409,19590927
adaij102,1960,BAL,1B,19600419,19601002
adaij102,1961,BAL,1B,19610411,19610930
adaij102,1962,HOU,,19620410,19620930
adaij102,1963,HOU,,19630409,19630929
adaij102,1964,HOU,,19640413,19641004
adaij102,1965,HOU,,19650412,19651003
adair801,1992,CLE,Pitching,19920406,19921004
adair801,1993,CLE,Pitching,19930405,19931003
adair801,1996,DET,Pitching,19960913,19960929
adair801,1997,DET,Pitching,19970401,19970928
adair801,1998,DET,Pitching,19980331,19980927
adair801,1999,DET,Pitching,19990405,19990709
adair801,2009,SEA,Pitching,20090406,20091004
adair801,2010,SEA,Pitching,20100405,20100808
adair801,2011,BAL,Bullpen,20110401,20110612
adair801,2011,BAL,Pitching,20110614,20110928
adair801,2012,BAL,Pitching,20120406,20121012
adair801,2013,BAL,Pitching,20130402,20130929
adamb103,1961,CHN,,19610411,19610529
adamb103,1962,CHN,,19620822,19620930
adamb103,1964,CHN,,19640414,19641004
adamb103,1965,CHN,3B,19650827,19651003
adamb103,1973,CHN,,19730406,19731001
adamr101,1969,LAN,Pitching,19690407,19691002
adamr101,1970,LAN,Pitching,19700407,19701001
adamr101,1971,LAN,Pitching,19710405,19710930
adamr101,1972,LAN,Pitching,19720415,19721004
adamr101,1973,LAN,Pitching,19730406,19730929
adamr101,1974,LAN,Pitching,19740405,19741017
adamr101,1975,LAN,Pitching,19750407,19750928
adamr101,1976,LAN,Pitching,19760409,19761003
adamr101,1977,LAN,Pitching,19770407,19771018
adamr101,1978,LAN,Pitching,19780407,19781017
adamr101,1979,LAN,Pitching,19790405,19790930
adamr101,1980,LAN,Pitching,19800410,19801006
adduj002,2023,CHN,Hitting,20230330,20231001
agual001,2008,NYN,1B,20080617,20080928
aguih101,1972,CHN,,19720415,19721004
aguih101,1973,CHN,Bullpen,19730406,19731001
aguih101,1974,CHN,Pitching,19740409,19741002
