id,lastname,firstname,first_g,last_g
actam801,Acta,Manny,20070402,20190511
adaib801,Adair,Bill,19700902,19700913
adcoj101,Adcock,Joe,19670411,19671001
aloms001,Alomar,Sandy,20120928,20200930
aloms101,Alomar,Sandy,20090509,20090509
alouf101,Alou,Felipe,19920522,20061001
alstw101,Alston,Walter,19540413,19760928
altoj101,Altobelli,Joe,19770407,19910521
amalj101,Amalfitano,Joey,19790924,19811004
andes101,Anderson,Sparky,19700406,19951001
apodb101,Apodaca,Bob,20050522,20050522
appll101,Appling,Luke,19670821,19671001
armob801,Armour,Bill,19020423,19061007
asprk101,Aspromonte,Ken,19720415,19741002
ausmb001,Ausmus,Brad,20140331,20220528
austj101,Austin,Jimmy,19130907,19310509
bainh001,Baines,Harold,20040529,20040820
baked002,Baker,Dusty,19930406,20231023
baked102,Baker,Del,19330930,19600612
baker101,Baker,Rufus,19460414,19460414
baldr001,Baldelli,Rocco,20190328,20240929
bambg101,Bamberger,George,19780407,19860925
bancd101,Bancroft,Dave,19240415,19310721
bancf801,Bancroft,Frank,19020711,19020729
banij001,Banister,Jeff,20150406,20220813
barar001,Barajas,Rod,20190921,20190929
bardj001,Bard,Josh,20180902,20190719
barkm101,Barker,Marvin,19460428,19460910
barre801,Barrow,Ed,19030422,19200928
barrj104,Barry,Jack,19170411,19171004
baueh101,Bauer,Hank,19610619,19690918
bayld001,Baylor,Don,19900705,20020704
beast801,Beasley,Tony,20220815,20221005
beckj102,Becker,Joe,19690413,19690415
bellb001,Bell,Buddy,19960401,20070930
belld002,Bell,David,20190328,20240929
benaf001,Benavides,Freddie,20190409,20200831
beneb001,Benedict,Bruce,19990616,19990617
bensv101,Benson,Vern,19760702,19770512
berry101,Berra,Yogi,19640416,19850428
bevit801,Bevington,Terry,19950602,19970928
bezdh801,Bezdek,Hugo,19170704,19190928
birmj101,Birmingham,Joe,19120902,19150519
bissd101,Bissonette,Del,19450731,19450930
blacb001,Black,Buddy,20070403,20240929
blacl101,Blackburne,Lena,19280706,19291006
bladr102,Blades,Ray,19390418,19510502
blaiw101,Blair,Walter,19150604,19150604
blueo102,Bluege,Ossie,19430420,19470928
bochb002,Bochy,Bruce,19950426,20240929
bogat001,Bogar,Tim,20140905,20210910
bolej801,Boles,John,19960711,20010527
boona001,Boone,Aaron,20180329,20241029
boonb001,Boone,Bob,19950426,20030727
boros101,Boros,Steve,19830404,19861005
bottj101,Bottomley,Jim,19370721,19371003
boudl101,Boudreau,Lou,19420414,19601002
bowal001,Bowa,Larry,19870406,20041001
bowef102,Bowerman,Frank,19090414,19090713
boyec102,Boyer,Clete,19810530,19810909
boyek101,Boyer,Ken,19780429,19800608
bradb102,Bradley,Bill,19050702,19141010
bragb101,Bragan,Bobby,19560417,19660808
brenb001,Brenly,Bob,20010403,20040701
bresr102,Bresnahan,Roger,19090414,19280829
brisd801,Bristol,Dave,19660714,19801005
browd801,Brown,Daren,20100809,20101003
browj107,Brown,Jimmy,19490825,19490825
browm102,Brown,Mordecai,19140416,19140821
bruce101,Brucker,Earle,19520730,19520803
bucka801,Buckenberger,Al,19020417,19041008
buecs001,Buechele,Steve,20170923,20170924
burkj104,Burke,Jimmy,19050504,19201003
burlr001,Burleson,Rick,19920724,19920907
burwb101,Burwell,Bill,19470928,19470928
bushd102,Bush,Donie,19230418,19331001
buttb801,Butterfield,Brian,20090710,20090711
cadac801,Cadahia,Chino,20080722,20130613
cairm001,Cairo,Miguel,20210812,20221005
callm001,Callaway,Mickey,20180329,20190929
calln101,Callahan,Nixey,19030422,19170629
cantj801,Cantillon,Joe,19070411,19091002
carem101,Carey,Max,19320412,19331001
carif101,Carisch,Fred,19240929,19240929
carrb101,Carrigan,Bill,19130716,19291006
cashk001,Cash,Kevin,20150406,20240929
cavap101,Cavarretta,Phil,19510722,19530927
chanf101,Chance,Frank,19050701,19231007
chapb102,Chapman,Ben,19450630,19480715
chash101,Chase,Hal,19100926,19120817
chave001,Chavez,Eric,20220420,20220420
chrir001,Christenson,Ryan,20220505,20220519
clard001,Clark,Dave,20090921,20091004
clarf101,Clarke,Fred,19010420,19151003
cobbt101,Cobb,Ty,19210414,19260926
cochm101,Cochrane,Mickey,19340417,19380806
cohea101,Cohen,Andy,19600414,19600414
coleb102,Coleman,Bob,19430424,19450729
colej106,Coleman,Jerry,19800410,19801005
colle101,Collins,Eddie,19230623,19260926
collj103,Collins,Jimmy,19010426,19060825
colls101,Collins,Shano,19310414,19320618
collt801,Collins,Terry,19940404,20171001
combe101,Combs,Earle,19510724,19510726
cookd102,Cooke,Dusty,19480716,19480725
coomj101,Coombs,Jack,19190423,19190708
coonj101,Cooney,Johnny,19490816,19491002
coopc001,Cooper,Cecil,20050515,20090920
coopd001,Cooper,Don,20110927,20130607
coraa001,Cora,Alex,20180329,20240929
coraj001,Cora,Joey,20060622,20120415
corrk801,Correa,Kai,20230929,20231001
corrp102,Corrales,Pat,19770612,20030924
corrr101,Corriden,Red,19430607,19501001
cottc101,Cottier,Chuck,19840901,19860507
counc001,Counsell,Craig,20150504,20240929
cox-b103,Cox,Bobby,19780407,20101011
crafh101,Craft,Harry,19570806,19640918
crair101,Craig,Roger,19780407,19921004
crand102,Crandall,Del,19720530,19840831
cravg101,Cravath,Gavy,19190709,19201003
cronj101,Cronin,Joe,19330412,19470928
crosf103,Crosetti,Frankie,19610802,19610806
cubbm101,Cubbage,Mike,19910929,19911006
currg102,Curry,Goose,19450530,19450927
dahlb102,Dahlen,Bill,19090714,19131003
darka101,Dark,Al,19610411,19771002
datzj001,Datz,Jeff,20090727,20090807
davej101,Davenport,Jim,19850409,19850917
davel102,Davenport,Lloyd,19440730,19440915
davig102,Davis,George,19010419,19011005
davih101,Davis,Harry,19120411,19160917
davis101,Davis,Spud,19460928,19460929
defrt801,DeFrancesco,Tony,20120819,20121003
dentb001,Dent,Bucky,19890818,20070504
dewsb801,Dews,Bobby,19800811,19800813
dickb101,Dickey,Bill,19460525,19460912
dierl101,Dierker,Larry,19970401,20011012
disag001,Disarcina,Gary,20170627,20170701
dobyl101,Doby,Larry,19780701,19781001
donob101,Donovan,Bill,19150414,19210724
donop101,Donovan,Patsy,19010419,19111007
dooir101,Dooin,Red,19100414,19141006
dorab001,Doran,Bill,20060922,20061001
dresc101,Dressen,Chuck,19340729,19660515
duffh101,Duffy,Hugh,19010425,19220930
duncd101,Duncan,Dave,19931001,20040605
dunlh801,Dunlop,Harry,19860606,20050630
durol101,Durocher,Leo,19390418,19730930
dwyef101,Dwyer,Frank,19020423,19020927
dyerd101,Dyer,Duffy,19930924,19970510
dyere101,Dyer,Eddie,19460416,19501001
dykej101,Dykes,Jimmy,19340509,19610930
ebeld801,Ebel,Dino,20140509,20140614
edwad102,Edwards,Doc,19870716,19890910
elbek101,Elberfeld,Kid,19080625,19081008
elial101,Elia,Lee,19820405,19880922
ellib103,Elliott,Bob,19600419,19601002
ens-j101,Ens,Jewel,19290828,19330614
ermec101,Ermer,Cal,19670609,19710822
espaj801,Espada,Joey,20210730,20241002
essij001,Essian,Jim,19910522,19911006
etcha101,Etchebarren,Andy,19960822,19960822
everb801,Evers,Bill,20060519,20210909
everj102,Evers,Johnny,19130412,19240929
falkb101,Falk,Bibb,19330610,19330610
fannj101,Fanning,Jim,19810908,19840930
farrd102,Farrell,Duke,19170705,19170709
