team,city,nickname,first_g,last_g
ACY,Atlantic City,Bacharach Giants,19200711,19271021
AGS,Augie Galan,All Stars,19441015,19441015
ALM,American League,Stars in Mexico,19351025,19351027
ALN,American League,All Stars,19261001,19301006
ALS,American League,All Stars,19330706,20240716
ANA,Anaheim,Angels,19970402,20240929
ARI,Arizona,Diamondbacks,19980331,20240929
ASB,Baltimore,All Stars,19271009,19331015
ASC,Max Carey,All Stars,19301004,19311004
ASD,Dizzy Dean,All Stars,19331002,19420531
ASE,East,All Stars,19330910,19620826
ASF,Bob Feller,All Stars,19451024,19471102
ASG,Lefty Grove,All Stars,19301029,19301029
ASL,Lou Gehrig,All Stars,19291013,19291013
ASO,Steve O'Neill,All Stars,19311004,19311004
ASP,Satchel Paige,All-Stars,19460930,19461014
AST,Taylor,All Stars,19401004,19401004
ASW,West,All Stars,19330910,19620826
ATL,Atlanta,Braves,19660412,20241002
ATN,Atlanta,Black Crackers,19370512,19390621
BAL,Baltimore,Orioles,19540413,20241002
BCG,Baltimore,Colored Giants,19431024,19431107
BFA,Buffalo,Black Aces,19380417,19380626
BIR,Birmingham,Black Barons,19250829,19491002
BIS,Bismarck,Club,19350606,19350606
BKB,Brooklyn,Bushwicks,19341017,19341017
BLA,Baltimore,Orioles,19010426,19020929
BLF,Baltimore,Terrapins,19140413,19151003
BLG,Baltimore,Elite Giants,19380410,19490927
BLS,Baltimore,Black Sox,19240803,19331015
BOS,Boston,Red Sox,19010426,20240929
BRF,Brooklyn,Tip-Tops,19140414,19150930
BRG,Brooklyn,Royal Giants,19240803,19370705
BRO,Brooklyn,Dodgers,19010418,19570929
BRS,Babe Ruth,All Stars,19261011,19350929
BSN,Boston,Braves,19010419,19520928
BUF,Buffalo,Blues,19140413,19150930
BXG,Bronx,Giants,19251018,19251018
CAG,Chicago,American Giants,19130718,19490927
CAL,California,Angels,19650413,19960929
CB1,Columbus,Buckeyes,19210430,19210719
CCB,Cincinnati-Cleveland,Buckeyes,19420405,19420916
CCR,Cincinnati,Crescents,19460403,19460902
CDA,Chuck Dressen,All Stars,19451007,19451014
CG1,Chicago,Giants,19150509,19210719
CHA,Chicago,White Sox,19010424,20240929
CHF,Chicago,Whales,19140416,19151003
CHM,Chicago,Mills,19341014,19341014
CHN,Chicago,Cubs,19010419,20240929
CI1,Cincinnati,Tigers,19370411,19370908
CI2,Cincinnati,Clowns,19420802,19431003
CIA,Cincinnati-Indianapolis,Clowns,19440410,19450930
CIN,Cincinnati,Reds,19010420,20240929
CLE,Cleveland,Guardians,19010424,20241019
CLG,Cleveland,Giants,19281007,19281007
CNN,Cincinnati,Cubans,19210424,19210612
COL,Colorado,Rockies,19930405,20240929
CUE,Cuban,Stars (East),19250503,19270515
CUS,Cuban,Stars (Ind),19370531,19370906
CUW,Cuban,Stars (West),19120824,19240518
CUX,X-Cuban,Giants,19030912,19040903
CV6,Cleveland,Cubs,19310617,19310617
CV9,Cleveland,Bears,19390326,19400902
CVB,Cleveland,Buckeyes,19430418,19480909
DAY,Dayton,Marcos,19260713,19260713
DET,Detroit,Tigers,19010425,20241012
DT1,Detroit,Stars,19210507,19300922
DT2,Detroit,Stars,19370509,19370822
ECG,Eastern,Colored Giants,19411008,19411026
FLO,Florida,Marlins,19930405,20110928
GLK,Great Lakes,Naval Training,19430807,19430807
HAE,Harrisburg,Giants,19240903,19240903
