id,lastname,firstname,first_g,last_g
abbof101,Abbott,Fred,19050909,19050909
acklt901,Ackley,Theodore,19530816,19530816
adamc901,Adams,Clarence,19760522,19760522
adamj901,Adams,Harry,19030721,19211013
adamu901,Adams,,19260919,19260919
addir901,Additon,Ryan,20170521,20241002
aheaj901,Ahearn,James,19341023,19341023
ahrea901,Ahrends,Adolph,19490607,19490607
akrou901,Akromis,,19460819,19490811
alleu901,Allen,,19450811,19460706
allia901,Allison,Al,19460515,19460708
altrn101,Altrock,Nick,19070603,19070603
andea901,Anderson,Andy,19780825,19790517
andeo901,Anderson,Ollie,19140414,19241014
andeu901,Anderson,,19440806,19450909
andrb901,Andress,Bill,19790501,19790504
andru901,Andrews,,19400524,19420603
angru901,Angrum,,19580824,19580824
angur901,Angus,R.,19461017,19471014
anthm901,Anthony,Merle,19690621,19750819
aratm901,Arata,Mark,19910408,19910408
armer901,Armendariz,Ramon,20040501,20070805
armsm901,Armstrong,Mike,19380628,19460708
arp-u901,Arp,,19420616,19450801
arrid901,Arrieta,David,20200821,20240929
ary-u901,Ary,,19490412,19490412
aschd901,Aschwege,Dave,20030708,20040818
ashfe901,Ashford,Emmett,19431111,19701015
asseu901,Asse,,19400527,19400527
atkiu901,Atkins,,19460603,19480530
atriu901,Atristain,,19351026,19351026
auguu901,Augustine,,19390423,19451007
austu901,Austin,,19480418,19490727
avann901,Avants,Nick,19700921,19710422
babcu901,Babcock,,19420624,19420709
bacce901,Bacchus,Erich,20200807,20241002
bacoj901,Bacon,John,20190502,20240922
bailj901,Bailey,Joe,19490607,19490607
bairj901,Baird,John,19790414,19810811
bairu901,Baird,,19490911,19490911
bakeb101,Baker,Bill,19570416,19570929
bakej902,Baker,Jordan,20120622,20241018
baldu901,Baldwin,,19420524,19420524
ballb901,Ballou,Brock,20220528,20240929
ballf901,Ballina,Frank,19910408,19950502
balll901,Ballanfant,Lee,19360414,19570929
bambm901,Bambonek,Mike,19490831,19490831
banau901,Banaham,,19410518,19480606
banku901,Banks,,19410510,19470722
banku902,Bankhead,,19430529,19430529
barbs901,Barber,Sean,20140330,20240922
barkl901,Barksdale,Lance,20000529,20241010
barla901,Barlick,Al,19400908,19710926
barnl901,Barnett,Larry,19690408,19990724
barnr901,Barnes,Ron,19900615,20020804
barrd901,Barry,Dan,19280411,19280930
barrg901,Barr,George,19310904,19491009
barrl901,Barrett,Lance,20101001,20241010
barrm901,Barron,Mark,19920928,20020527
barrs901,Barry,Scott,20060604,20240930
barrt901,Barrett,Ted,19940527,20221023
barru901,Barrow,,19441001,19451007
barru902,Barrett,,19210629,19210629
barsm901,Barston,Mike,19790428,19790428
basis901,Basil,Steve,19360414,19420925
basiu901,Basile,,19400728,19401004
basnt901,Basner,Toby,20120624,20170730
baswj901,Baswell,Jack,19790518,19790518
bausg101,Bausewine,George,19050414,19050919
bayeu901,Baye,,19450717,19450717
beald901,Beal,Damien,20070824,20100418
beane901,Bean,Ed,19940603,19940807
becka901,Beck,Adam,20200805,20241012
beckb901,Beck,Bob,19790425,19790517
becke101,Beck,Erve,19020525,19020525
beckj103,Beckley,Jake,19060909,19060909
becku901,Beck,,19261113,19411026
beebf101,Beebe,Fred,19070811,19070811
beggu901,Beggs,,19261004,19281012
behlf901,Behle,Frank,19010708,19010822
bejmo101,Bejma,Ollie,19350728,19350728
belcu901,Belcher,,19420716,19450620
belld901,Bellino,Dan,20080625,20241011
bellu901,Bellinski,,19410911,19420812
bellw103,Bell,William,19350929,19350929
bellw901,Bell,Wally,19920616,20131009
bendc101,Bender,Chief,19070429,19070429
bendj901,Bendekovits,Joe,19790420,19790517
benju901,Benjamin,,19370425,19410513
bennu901,Bennett,,19251018,19251018
bergu901,Bergen,,19410430,19470630
bernb101,Bernhard,Bill,19030523,19070916
berrc103,Berry,Charlie,19420910,19701003
berru901,Berry,,19440720,19440914
betcr901,Betcher,Ralph,19760521,19760521
bettw901,Betts,William,19010824,19030928
beveu901,Bever,,19390723,19390723
bevim101,Beville,Monte,19040909,19040909
biall901,Bialorucki,Larry,19950426,19950502
bibbu901,Bibb,,19420614,19420614
biblj901,Bible,Jon,19841002,19841005
bierb901,Bierhalter,Bits,19180722,19240612
bishh901,Bishop,Homer,19790411,19790411
bishl901,Bishop,Les,19410802,19460917
blacb901,Blackmore,B.A.,19390919,19390919
blacu901,Blackman,,19270731,19270731
blakr901,Blakney,Ryan,20150421,20241010
blaku901,Blakeslee,,19380529,19380529
blanc103,Blankenship,Cliff,19070924,19070924
blanf901,Blandford,Fred,19701003,19701003
blano901,Blankenmeister,Oscar,19201005,19201005
blasc901,Blaser,Cory,20100424,20241011
blauu901,Blauvelt,,19440511,19440511
bleeu901,Bleech,,19390824,19400627
bluev901,Blueitt,Virgil,19340916,19500820
boggd901,Boggess,Dusty,19440418,19621003
bohnm901,Bohn,Matt,19950426,19950502
bonig901,Bonin,Greg,19840725,20010606
bonnu901,Bonnie,,19420424,19420424
bonvu901,Bonville,,19470615,19470812
boonu901,Boone,,19240427,19470730
borcu901,Borchick,,19420615,19420615
borgs901,Borga,Steve,19790413,19790415
bossu901,Boss,,19440822,19440822
bouru901,Bourne,Lionel,19460623,19490821
bovet901,Bovey,Terry,19790413,19950502
boweu901,Bowen,,19450408,19450408
boweu902,Bowers,,19250811,19250811
boyej901,Boyer,Jim,19440418,19500813
boylu901,Boyle,Pat,19210612,19470610
bradu902,Brady,,19480526,19490524
brank101,Bransfield,Kitty,19170411,19171002
branu901,Brannan,,19271009,19390516
brauu901,Brauer,,19210522,19210522
brecu901,Breckman,,19281014,19281014
breit101,Breitenstein,Theodore,19201005,19201005
bremn901,Bremigan,Nick,19740405,19880814
brenb901,Brennan,Bill,19090918,19211001
brenu902,Brenaham,Finnis,19311025,19400609
bridu901,Bridgewater,,19361004,19361004
brinj901,Brinkman,Joe,19720906,20060702
brism901,Briscese,Mike,19790417,19790516
broce901,Brockman,Edward,19311004,19400805
brocf901,Brocklander,Fred,19790405,19900809
broou901,Brooks,,19301029,19301123
brosu901,Broski,,19361001,19361001
browb901,Brown,Bud,19790414,19790502
browd901,Brown,Doug,19790503,19790510
browj901,Brown,Jeff,19780825,19790425
brows103,Brown,Sam,19070830,19070830
browt102,Brown,Tom,19010726,19071004
browu901,Brown,,19211003,19610820
brucu901,Bruce,,19430824,19430921
brucu902,Bruce,,19370626,19370821
brunr901,Bruns,Randy,19910408,19910408
brutu901,Brutteri,,19370710,19370710
bryau901,Bryan,,19470620,19470620
buchw901,Buchanan,William,19980403,19980403
buckc901,Bucknor,CB,19960404,20240922
bucks901,Buckminster,Seth,20140408,20150524
bucku901,Buckley,,19480705,19480705
buelc101,Buelow,Charlie,19010706,19010706
buelf101,Buelow,Fritz,19060716,19060716
buntw901,Buntyn,West,19390801,19450415
burgu901,Burgin,,19380515,19380515
burkk101,Burkhart,Ken,19570416,19730930
burnu902,Burnett,,19480506,19480519
burtu901,Burton,,19210905,19211015
bushg901,Bush,Garnet,19110920,19140615
buthu901,Buthey,,19281013,19281013
byerb101,Byers,Bill,19301012,19301026
byrnj902,Byrne,Jon,20140516,20140928
byrol901,Byron,Lord,19130410,19190927
bywau901,Bywatter,,19440711,19440711
cabeg901,Cabelof,George,19460702,19470625
cabel901,Cabelof,Leo,19430719,19470625
cainu901,Cain,,19380628,19380628
caldu901,Caldwell,,19361001,19361001
calln101,Callahan,Nixey,19010707,19010707
campa902,Campos,Angel,20070503,20140914
campb901,Campbell,Bick,19280410,19400929
campb902,Campbell,Bob,19790412,19790502
campf901,Campagna,Frank,19790413,19841006
campr901,Campbell,Ray,19490718,19490718
canau901,Canale,,19490726,19490726
cantj801,Cantillon,Joe,19010426,19020825
caraj901,Caraco,Joe,19950426,19950502
carav901,Carapazza,Vic,20100409,20241019
carlm901,Carlson,Mark,19990611,20241030
carmu901,Carmona,,19351026,19351026
carnr901,Carney,Red,19240612,19240612
carnu901,Carnicella,,19320930,19320930
carpb901,Carpenter,Bill,19040414,19071005
carpu901,Carpenter,,19470502,19470526
carrh901,Carrigan,Sam,19610411,19641004
carrj901,Carroll,Jack,19251025,19251101
carsk102,Carsey,Kid,19010710,19010710
cartu901,Carter,,19400616,19400616
carub101,Caruthers,Bob,19020423,19030704
caseu901,Casey,,19370427,19370427
cashd901,Cashion,Dim,19261011,19261011
casoj101,Cason,John,19410526,19410526
casou901,Cason,,19390625,19460603
cassf901,Cassese,Frank,19610820,19610820
causk901,Causey,Kevin,20060902,20090913
cavau901,Cavanaugh,,19301005,19301005
caved901,Cavenaugh,Dick,19790405,19841003
cavou901,Cavos,,19380724,19380724
cedeg901,Cederstrom,Gary,19890602,20191030
cejan901,Ceja,Nestor,20200814,20241002
cennu901,Cenni,,19480827,19480827
chadc101,Chadbourne,Chet,19301029,19331225
chalm901,Challower,Mark,19440827,19460428
chanf101,Chance,Frank,19020718,19020718
charo101,Charleston,Oscar,19440507,19470902
charu901,Charleston,,19361001,19361001
chilo901,Chill,Ollie,19140414,19260920
chilu901,Childs,,19430628,19430628
chiru901,Chirhart,,19470728,19470728
chriu901,Christmas,,19430510,19430702
chriu902,Christian,,19370514,19370514
chyln901,Chylak,Nestor,19540413,19780722
clara901,Clark,Al,19760409,20010613
clara902,Clarke,Alvin,19380403,19380403
clarb901,Clarke,Bob,19300415,19310816
claru901,Clarke,,19410805,19460610
claru902,Clary,,19430712,19430712
clauu901,Claus,,19410805,19410808
clayu901,Clayton,,19390719,19390721
cleap901,Cleague,Pete,19380501,19430815
clegd901,Clegg,Dick,19790415,19790518
clemb901,Clement,Curly,19780825,19790405
clemp901,Clemons,Paul,20200819,20240926
cobld901,Coble,Drew,19820608,19990703
cockg901,Cockill,George,19150529,19151007
cockp101,Cockrell,Phil,19370515,19480809
coglu901,Coglizer,,19370831,19370831
cohea901,Cohen,Al,19760521,19760522
coheu901,Cohen,,19380822,19440913
cokeu901,Coker,,19370527,19370625
colbu902,Colby,,19460723,19460813
coleu901,Cole,,19441015,19441015
coleu902,Coles,,19480709,19480709
colgh901,Colgan,Harry,19010418,19010817
collh101,Colliflower,Harry,19100805,19100920
collu901,Collins,,19450506,19470811
colod901,Colon,Delfin,20080728,20090927
colon901,Colosi,Nick,19680915,19821003
compc901,Compton,Craig,19950427,19950502
condu901,Condon,,19260919,19260919
conlj102,Conlan,Jocko,19241020,19650606
connp901,Connors,Pat,19980511,19980824
connt901,Connolly,Tommy,19010424,19320731
connt902,Connor,Tom,19050629,19060719
connu901,Conn,Jack,19790412,19790412
connu903,Connolly,,19290606,19300705
conrc901,Conroy,Chris,20100929,20240929
conrh901,Conrad,Harry,19441011,19441011
conru901,Conroy,,19450812,19490710
conta901,Contant,Alan,19780825,19790513
conwj901,Conway,John,19060412,19061004
cookr901,Cook,Rob,19990903,20000903
coolu901,Cooley,,19390424,19390424
coonj101,Cooney,Johnny,19410628,19410628
coont901,Cooney,Terry,19740927,19920919
coope901,Cooper,Eric,19960617,20191007
coopu901,Cooper,,19270730,19460725
coplu901,Coplan,,19400906,19400913
corct101,Corcoran,Tommy,19150501,19150819
cordi901,Cordes,Ike,19490604,19490810
cornu901,Cornelius,,19390419,19390419
cossd901,Cossey,Doug,19780825,19841005
costp901,Costello,Perry,19950501,19950502
costu901,Costello,,19241011,19250927
cotee901,Cote,Emilien,19790414,19790425
cottu901,Cottman,,19490916,19490918
cougb101,Coughlin,Bill,19040908,19040910
coulu901,Coulter,,19390714,19390714
cousd901,Cousins,Derryl,19790406,20120909
cox-s901,Cox,Steve,19341023,19341023
craft901,Craft,Terry,19870527,20060418
craij901,Craig,John,19300719,19460726
craiu901,Crain,,19410808,19410808
crawj901,Crawford,Jerry,19760515,20101009
crawj902,Crawford,John,19410511,19480818
craws901,Crawford,Shag,19560417,19750928
creeu901,Creelin,,19410913,19410913
crisr901,Christal,Randy,19841002,19841005
crolf101,Crolius,Fred,19010720,19010720
cromu901,Cromwell,,19240803,19470606
cronj102,Cronin,Jack,19010905,19021004
croou901,Crooks,,19470615,19500820
crosm101,Cross,Monte,19140414,19141010
crosu901,Crossland,,19480811,19490705
crosu902,Cross,,19430621,19430621
crumj101,Crump,James,19341002,19420618
cubau901,Cuban,,19470629,19470629
culbf901,Culbreth,Fieldin,19930813,20211003
culld101,Culler,Dick,19470710,19470710
cummc901,Cummings,Chick,19310617,19310617
cunej901,Cuneo,Jim,19780825,19790516
cunnb103,Cunningham,Bert,19010524,19010721
cunnu901,Cunningham,,19430507,19440417
curru901,Curran,,19410830,19410830
curru902,Curry,,19380710,19380710
cusas901,Cusack,Steve,19090415,19160828
cusau901,Cusack,,19210509,19210509
cuzzp901,Cuzzi,Phil,19910604,20241002
dageu901,Dagenfield,,19400602,19400602
dahmu901,Dahman,,19261003,19261003
dalej901,Dale,Jerry,19700925,19850914
daleu901,Daley,,19331006,19331006
dalru901,Dalrymple,,19420512,19420902
dalyt101,Daly,Tom,19011005,19011005
danlk901,Danley,Kerwin,19920612,20210829
darlg901,Darling,Gary,19860420,20131010
darnu901,Darnell,,19361004,19361004
dascf901,Dascoli,Frank,19480704,19610809
daugu901,Daugherty,,19480518,19480518
davib901,Davis,Bill,19950426,19950502
davib902,Davidson,Bob,19820531,20161002
davib903,Davis,Bob,19790511,19790518
david901,Davidson,Dale,19790502,19790516
davig901,Davis,Gerry,19820609,20211003
davis901,Davidson,Satch,19690408,19840512
daviu901,Davis,,19341017,19370606
dawsu901,Dawson,,19281008,19281008
day-u901,Day,,19370508,19370509
decku901,Decker,,19370620,19370620
decuu901,Decuir,,19390917,19390917
deegb901,Deegan,Bill,19701003,19950502
deemh901,Deem,Harry,19440711,19440711
deflp901,DeFlesco,Pete,19910408,19910408
dehaf901,DeHaney,Frank,19451003,19481025
dejer901,De Jesus,Ramon,20160422,20241012
delld901,Dellinger,Dusty,20050704,20070603
delmv901,Delmore,Vic,19560417,19590927
dempu901,Dempsey,,19460812,19460812
demud901,DeMuth,Dana,19830603,20190712
denis901,Deniston,Shan,19780825,19780825
denkd901,Denkinger,Don,19690408,19980602
dennr901,Denny,Richard,19841003,19841003
derou901,DeRose,,19370629,19370629
derrd901,Derr,Doll,19230417,19251010
deusu901,Deuschle,,19480722,19480722
devoj102,Devoe,Josh,19341014,19410511
deweu901,Dewey,Lewellyn,19390831,19470708
dezef901,Dezelan,Frank,19660923,19701001
diazl901,Diaz,Laz,19950623,20240930
dicku901,Dickinson,,19421018,19421018
dierr901,Dierking,Roger,19780825,19780825
dimul901,DiMuro,Lou,19630410,19820606
dimum901,DiMuro,Mike,19970731,20180708
dimur901,DiMuro,Ray,19960528,19980830
dinnb101,Dinneen,Bill,19070915,19371003
disau901,DiSantis,,19370901,19370909
dixoh901,Dixon,Hal,19530414,19591008
dixor101,Dixon,Rap,19400518,19400915
dixou901,Dixon,,19390419,19480527
donaa901,Donatelli,Augie,19500418,19731021
donab901,Donaldson,Billy,19230805,19420920
donar101,Donahue,Red,19030925,19060922
donlm101,Donlin,Mike,19180722,19180722
donnc901,Donnelly,Charles,19310420,19350929
donnu901,Donnelly,,19320930,19320930
donob101,Donovan,Bill,19020802,19060831
donom901,Donohue,Michael,19300415,19300917
donou901,Donohue,,19480708,19480818
dooir101,Dooin,Red,19040726,19040726
doolt901,Doolan,Tim,19241003,19241006
dorcu901,Dorchick,,19480614,19480614
dougd901,Dougherty,Dan,19261011,19281010
dougk101,Douglass,Klondike,19030610,19030610
dougu901,Douglas,,19470821,19470905
dowda901,Dowdy,Adam,20020618,20070930
downu901,Downing,,19410830,19410830
doylj103,Doyle,Jack,19110412,19110601
doylj901,Doyle,Joe,19380426,19490509
drakr901,Drake,Rob,19990903,20241008
draku901,Drake,,19300831,19300831
drecb901,Dreckman,Bruce,19960405,20240928
drekr901,Dreke,Roy,19790404,19790412
dresa901,Dresser,Al,19950429,19950429
drewu901,Drews,,19440904,19440904
drill101,Drill,Lew,19030706,19040909
drisj901,Driscoll,Joe,19780825,19780825
drumc901,Drummond,Cal,19600418,19690610
drumj901,Drumgoole,Jim,19450513,19490821
drumu901,Drummond,,19480808,19480808
druru901,Drury,,19470527,19470615
dudlu901,Dudley,,19460628,19480822
duffj901,Duffy,Jim,19510417,19530927
duffu901,Duffy,,19271009,19281007
duhlu901,Duhlstein,,19371005,19371005
duncf102,Duncan,Frank,19461007,19490918
duncr901,Duncan,Dennis,19950426,19980403
duncu901,Duncan,,19370913,19370913
dunnj901,Dunne,Jim,19780825,19790408
dunnt901,Dunn,Tom,19390627,19460929
durfp901,Durfee,Peter,20050918,20050929
duveu901,Duver,,19390707,19390728
dwyef101,Dwyer,Frank,19010420,19041008
easlh901,Easley,Harold,19790405,19790502
easom101,Eason,Mal,19020725,19170723
eckmu901,Eckman,,19210508,19210509
eddid901,Eddings,Doug,19980816,20241030
eddij901,Eddinger,Jerry,19130730,19130731
edwal901,Edwards,Larry,19780825,19780825
edwau901,Edwards,,19380822,19380822
eganr101,Egan,Jack,19030820,19141007
eldrc901,Eldridge,Clarence,19140624,19150527
elfoa901,Elford,Art,19440710,19440710
elkiu901,Elkins,,19461010,19461010
emmep901,Emmel,Paul,19990731,20230521
emslb101,Emslie,Bob,19010419,19240928
engeb901,Engel,Bob,19650820,19900424
engeb902,Engeln,Bill,19520523,19560930
engll101,English,Louis,19390421,19390421
eoffu901,Eoff,,19410520,19410520
eraau901,Eraat,,19320927,19320927
esheg901,Eshelman,George,19790404,19790520
esheu901,Eshelman,,19480712,19490622
estam901,Estabrook,Mike,20060507,20241019
estej901,Estes,Jimmy,19451003,19481025
evanb901,Evans,Billy,19060414,19271001
evanj901,Evans,Jim,19710909,19990829
evanj902,Evans,Jeff,19910408,19910408
evanu901,Evans,,19211010,19480510
everm901,Everitt,Mike,19960620,20191019
evilu901,Evilsizor,,19430518,19430702
fagac901,Fagan,Clint,20110627,20170730
fairc901,Fairchild,Chad,20040930,20241029
fairu901,Fair,Paul,19371010,19410420
fambu901,Fambro,,19440720,19470925
farlu901,Farland,,19451009,19451009
farmm901,Farmer,Mike,19790508,19790510
farnh901,Farnsworth,Harry,19790408,19790517
farrd102,Farrell,Duke,19010629,19020525
feasd901,Feaser,Dick,19790412,19790516
feige901,Feigert,E.,19450813,19450813
fergc102,Ferguson,Charlie,19130411,19140512
fergt901,Ferguson,Tom,19261024,19261219
fernu901,Fernandez,,19480425,19480523
ferru901,Ferry,,19460603,19460603
fichm901,Fichter,Mike,19991001,20050907
fickj901,Fick,Jerry,19780825,19790429
fiela901,Fields,Art,19430829,19440916
fiels901,Fields,Steve,19790406,19810920
fielu901,Fieldcamp,,19470417,19470708
filcu901,Filchia,,19400602,19400602
fincu901,Finch,,19490911,19490911
finku901,Fink,,19370806,19380718
finnu901,Finney,,19210430,19210430
finnw901,Finneran,Bill,19110412,19230930
fiora901,Fioresi,Al,19451021,19451021
fishf901,Fisher,Frank,19790413,19841006
