gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,wp,lp,save,gs,gf,cg,date,number,site,opp,wl,gametype,box
PHG190309120,fostr105,CUX,1,value,27,,34,6,1,1,0,2,1,3,,6,0,0,0,0,,1,,,1,,1,19030912,0,PHI10,PHG,W,championship,y
PHG190309120,fostr105,CUX,1,lower,27,,,6,1,1,0,2,1,3,,6,0,0,0,0,,,,,,,,19030912,0,PHI10,PHG,W,championship,y
PHG190309120,fostr105,CUX,1,upper,27,,,6,1,1,0,2,1,3,,6,0,0,0,0,,,,,,,,19030912,0,PHI10,PHG,W,championship,y
PHG190309120,bellw103,PHG,1,value,27,,40,10,2,0,0,4,1,0,,1,0,0,0,1,,,1,,1,,1,19030912,0,PHI10,CUX,L,championship,y
PHG190309120,bellw103,PHG,1,lower,27,,,10,2,0,0,4,1,0,,1,0,0,0,1,,,,,,,,19030912,0,PHI10,CUX,L,championship,y
PHG190309120,bellw103,PHG,1,upper,27,,,10,2,0,0,4,1,0,,1,0,0,0,1,,,,,,,,19030912,0,PHI10,CUX,L,championship,y
CUX190309131,mccld101,CUX,1,value,27,,29,2,0,1,0,1,1,1,,1,0,0,0,0,,1,,,1,,1,19030913,1,NYC18,PHG,W,championship,y
CUX190309131,mccld101,CUX,1,lower,27,,,2,0,1,0,1,1,1,,1,0,0,0,0,,,,,,,,19030913,1,NYC18,PHG,W,championship,y
CUX190309131,mccld101,CUX,1,upper,27,,,2,0,1,0,1,1,1,,1,0,0,0,0,,,,,,,,19030913,1,NYC18,PHG,W,championship,y
CUX190309131,buckh101,PHG,1,value,24,,40,15,3,0,0,8,8,1,,1,0,0,0,0,,,1,,1,,1,19030913,1,NYC18,CUX,L,championship,y
CUX190309131,buckh101,PHG,1,lower,24,,,15,3,0,0,8,8,1,,1,0,0,0,0,,,,,,,,19030913,1,NYC18,CUX,L,championship,y
CUX190309131,buckh101,PHG,1,upper,24,,,15,3,0,0,8,8,1,,1,0,0,0,0,,,,,,,,19030913,1,NYC18,CUX,L,championship,y
PHG190309132,mccld101,CUX,1,value,24,,35,9,0,0,0,5,,2,,4,0,0,0,0,,,1,,1,,1,19030913,2,NYC18,PHG,L,championship,y
PHG190309132,mccld101,CUX,1,lower,24,,,9,0,0,0,5,,2,,4,0,0,0,0,,,,,,,,19030913,2,NYC18,PHG,L,championship,y
PHG190309132,mccld101,CUX,1,upper,24,,,9,0,0,0,5,,2,,4,0,0,0,0,,,,,,,,19030913,2,NYC18,PHG,L,championship,y
PHG190309132,bellw103,PHG,1,value,27,,37,7,0,0,0,2,,3,,1,0,0,0,0,,1,,,1,,1,19030913,2,NYC18,CUX,W,championship,y
PHG190309132,bellw103,PHG,1,lower,27,,,7,0,0,0,2,,3,,1,0,0,0,0,,,,,,,,19030913,2,NYC18,CUX,W,championship,y
PHG190309132,bellw103,PHG,1,upper,27,,,7,0,0,0,2,,3,,1,0,0,0,0,,,,,,,,19030913,2,NYC18,CUX,W,championship,y
CUX190309140,fostr105,CUX,1,value,27,,32,3,1,0,0,1,0,2,,3,0,0,1,1,,1,,,1,,1,19030914,0,TRE02,PHG,W,championship,y
